"BMD","BMDL"
47.0465,30.2792
47.1051,30.3088
47.135,30.3252
47.216,30.3386
47.2203,30.3681
47.2815,30.3909
47.2874,30.4208
47.4724,30.4846
47.5042,30.573
47.5324,30.5954
47.5982,30.62
47.9292,30.679
47.9937,30.688
48.0782,30.7285
48.0875,30.7323
48.1514,30.7425
48.181,30.7467
48.2655,30.7492
48.2978,30.7509
48.3357,30.7539
48.4106,30.8927
48.4667,30.929
48.4741,30.9741
48.5359,31.0241
48.5565,31.0521
48.573,31.1815
48.6197,31.1938
48.6539,31.2207
48.7222,31.2266
48.7597,31.2546
48.7719,31.2984
48.8052,31.3447
48.8553,31.4491
48.8688,31.5051
48.9216,31.5057
49.0008,31.5707
49.1427,31.5939
49.2764,31.5941
49.3463,31.6526
49.4128,31.7108
49.4865,31.7201
49.6879,31.7339
49.7864,31.7408
49.853,31.7537
49.9194,31.7542
49.9816,31.8011
50.0045,31.8015
50.0472,31.8157
50.0806,31.87
50.3699,31.9067
50.441,31.9145
50.4616,31.9216
50.531,31.9342
50.9225,31.9587
50.9341,32.0107
51.0829,32.0186
51.1021,32.062
51.1443,32.0733
51.2821,32.1005
51.2996,32.1266
51.3222,32.1372
51.4736,32.2186
51.5215,32.2531
51.6077,32.262
51.7021,32.2941
52.0132,32.3205
52.1056,32.3714
52.1709,32.3944
52.2141,32.4869
52.2381,32.5571
52.2562,32.5772
52.2958,32.5916
52.3809,32.6047
52.4215,32.6725
52.4545,32.7097
52.4837,32.7762
52.5474,32.7944
52.5505,32.8414
52.6047,32.8507
52.69,32.8635
52.7113,32.9021
52.7355,32.9599
52.7946,33.027
52.843,33.0278
52.8481,33.066
52.9612,33.0775
53.0022,33.0807
53.0086,33.0834
53.0377,33.175
53.0667,33.1949
53.1464,33.2018
53.1897,33.2073
53.2424,33.2808
53.2775,33.3228
53.2957,33.3333
53.5835,33.3817
53.7873,33.3974
54.0006,33.523
54.1503,33.5298
54.3076,33.537
54.3729,33.5708
54.5013,33.6027
54.5252,33.6407
54.6192,33.6734
54.6454,33.7267
54.6969,33.7594
54.7298,33.7602
54.9227,33.7773
55.152,33.7871
55.1533,33.8114
55.1544,33.8146
55.3054,34.0561
55.3568,34.0918
55.3629,34.1023
55.4506,34.1853
55.5416,34.2707
55.579,34.2953
55.7667,34.3413
55.7834,34.3692
55.8337,34.3886
55.8746,34.4675
55.9341,34.4844
55.9657,34.5247
56.1437,34.6302
56.1444,34.7097
56.1826,34.7679
56.1859,34.779
56.1916,34.7863
56.2301,34.8214
56.2577,34.8575
56.3247,34.8603
56.3757,34.8903
56.4049,34.9486
56.4837,34.9642
56.654,35.0216
56.7097,35.1237
56.7697,35.1292
56.773,35.1366
56.7759,35.1844
56.7908,35.2294
56.8356,35.2637
56.8481,35.3045
56.9138,35.3762
56.9157,35.4001
56.9657,35.4156
57.0968,35.4363
57.2239,35.4607
57.3256,35.4874
57.3468,35.5414
57.3618,35.5479
57.4548,35.5513
57.4594,35.6028
57.6293,35.6773
57.7083,35.7078
57.738,35.7277
57.7625,35.7809
58.0447,35.8142
58.0848,35.8208
58.3734,35.9125
58.3904,36.0247
58.3912,36.0939
58.4535,36.121
58.4917,36.1264
58.555,36.1926
58.5723,36.205
58.624,36.2369
58.647,36.2754
58.7869,36.2866
58.7924,36.3363
58.7943,36.4257
58.9232,36.4296
59.071,36.4335
59.1094,36.4708
59.1369,36.5006
59.1631,36.5176
